ti_nome,municipio
São Domingos - MT,SÃO FÉLIX DO ARAGUAIA
São Domingos do Jacapari e Estação,JUTAÍ
São Domingos do Jacapari e Estação,TONANTINS
São Francisco do Canimari,AMATURÁ
São Jeronimo,SÃO JERÔNIMO DA SERRA
São Leopoldo,BENJAMIN CONSTANT
São Leopoldo,SÃO PAULO DE OLIVENÇA
São Marcos - MT,BARRA DO GARÇAS
São Marcos - RR,BOA VISTA
São Marcos - RR,PACARAIMA
São Pedro,AUTAZES
São Pedro do Sepatini,LÁBREA
São Sebastião,TONANTINS
Sapotal,TABATINGA
Sararé,VILA BELA DA SANTÍSSIMA TRINDADE
Sararé,NOVA LACERDA
Sararé,CONQUISTA D´OESTE
Sarauá,IPIXUNA DO PARÁ
Sassoró,TACURU
Sawré Muybu (Pimental),ITAITUBA
Sawré Muybu (Pimental),TRAIRÃO
Sepoti,HUMAITÁ
Sepoti,MANICORÉ
Serra da Moça,BOA VISTA
Serra do Itatins,ITARIRI
Serra Morena,JUÍNA
Serrinha,CONSTANTINA
Serrinha,ENGENHO VELHO
Serrinha,RONDA ALTA
Serrinha,TRÊS PALMEIRAS
Seruini/Mariene,LÁBREA
Seruini/Mariene,PAUINI
Sete Cerros,PARANHOS
Sete de Setembro,RONDOLÂNDIA
Sete de Setembro,CACOAL
Sete de Setembro,ESPIGÃO D´OESTE
Setemã,BORBA
Setemã,NOVO ARIPUANÃ
Sissaíma,CAREIRO DA VÁRZEA
Sombrerito,SETE QUEDAS
Sororó,BREJO GRANDE DO ARAGUAIA
Sororó,MARABÁ
Sororó,SÃO DOMINGOS DO ARAGUAIA
Sororó,SÃO GERALDO DO ARAGUAIA
Sucuba,ALTO ALEGRE
Sucuriy,MARACAJU
Sururuá,BENJAMIN CONSTANT
Sururuá,SÃO PAULO DE OLIVENÇA
Taba dos Anacé,CAUCAIA
Tabalascada,CANTÁ
Tabocal,CAREIRO
Tadarimana,RONDONÓPOLIS
Taego Ãwa,FORMOSO DO ARAGUAIA
Taihantesu,NOVA LACERDA
Takuaraty/Yvykuarusu,PARANHOS
Takuari,ELDORADO
Tanaru,CORUMBIARA
Tanaru,CHUPINGUAIA
Tanaru,PARECIS
Tanaru,PIMENTEIRAS DO OESTE
Tapeba,CAUCAIA
Tapirapé/Karajá,SANTA TEREZINHA
Tapirapé/Karajá,LUCIARA
Tapyi/Rio Branquinho,CANANÉIA
Taquaperi,CORONEL SAPUCAIA
Taquara,JUTI
Tarumã,ARAQUARI
Tarumã,BALNEÁRIO BARRA DO SUL
Taunay/Ipegue,AQUIDAUANA
Tekoa Guaviraty,CANANÉIA
Tekoa Guaviraty,IGUAPE
Tekohá Añetete,DIAMANTE D´OESTE
Tekoha Itamarã,DIAMANTE D´OESTE
Tekoha Jevy (Rio Pequeno),PARATY
Tembé,TOMÉ-AÇU
Tenharim do Igarapé Preto,NOVO ARIPUANÃ
Tenharim Marmelos,MANICORÉ
Tenharim Marmelos,HUMAITÁ
Tenharim Marmelos (Gleba B),HUMAITÁ
Tenharim Marmelos (Gleba B),MANICORÉ
Tenondé Porã,ITANHAÉM
Tenondé Porã,SÃO BERNARDO DO CAMPO
Tenondé Porã,SÃO PAULO
Tenondé Porã,SÃO VICENTE
Tenondé Porã,MONGAGUÁ
Terena Gleba Iriri,MATUPÁ
Tereza Cristina,SANTO ANTÔNIO DO LEVERGER
Tibagy/Mococa,ORTIGUEIRA
Tikúna de Feijoal,BENJAMIN CONSTANT
Tikúna de Feijoal,SÃO PAULO DE OLIVENÇA
Tikuna de Santo Antonio,BENJAMIN CONSTANT
Tingui Botó,CAMPO GRANDE
Tingui Botó,FEIRA GRANDE
Tirecatinga,SAPEZAL
Toldo Chimbangue,CHAPECÓ
Toldo Chimbangue II,CHAPECÓ
Toldo Imbu,ABELARDO LUZ
Toldo Pinhal,ARVOREDO
Toldo Pinhal,PAIAL
Toldo Pinhal,SEARA
Torá,HUMAITÁ
Torá,MANICORÉ
Tremembé da Barra do Mundaú,ITAPIPOCA
Tremembé de Queimadas,ACARAÚ
Trincheira,AUTAZES
Trincheira Bacaja,ALTAMIRA
Trincheira Bacaja,SÃO FÉLIX DO XINGU
Trincheira Bacaja,SENADOR JOSÉ PORFÍRIO
Trincheira Bacaja,ANAPU
Trocará,BAIÃO
Trocará,TUCURUÍ
Trocará - Doação,TUCURUÍ
Trombetas/Mapuera,CAROEBE
Trombetas/Mapuera,SÃO JOÃO DA BALIZA
Trombetas/Mapuera,FARO
Trombetas/Mapuera,ORIXIMINÁ
Trombetas/Mapuera,NHAMUNDÁ
Trombetas/Mapuera,URUCARÁ
Truaru,ALTO ALEGRE
Truaru,BOA VISTA
Truká,CABROBÓ
Tubarão Latunde,CHUPINGUAIA
Tukuna Porto Espiritual,BENJAMIN CONSTANT
Tukuna Umariaçu,TABATINGA
Tumbalalá,CURAÇÁ
Tumbalalá,ABARÉ
Tumiã,LÁBREA
Tupã-Supé,ALVARÃES
Tupã-Supé,UARINI
Tupinambá de Belmonte,BELMONTE
Tupinambá de Olivença,ILHÉUS
Tupinambá de Olivença,UNA
Tupinambá de Olivença,BUERAREMA
Tupiniquim,ARACRUZ
Turé/Mariquita,TOMÉ-AÇU
Turé/Mariquita II,TOMÉ-AÇU
Tuwa Apekuokawera,SÃO GERALDO DO ARAGUAIA
Tuwa Apekuokawera,MARABÁ
Tuxá de Inajá,INAJÁ
Uaçá,OIAPOQUE
Uati-Paraná,FONTE BOA
Uati-Paraná,JAPURÁ
Uati-Paraná,TONANTINS
Ubawawe,SANTO ANTÔNIO DO LESTE
Uirapuru,NOVA LACERDA
Uirapuru,CAMPOS DE JÚLIO
Umutina,BARRA DO BUGRES
Uneiuxi,JAPURÁ
Uneiuxi,SANTA ISABEL DO RIO NEGRO
Urubu Branco,SANTA TEREZINHA
Urubu Branco,CONFRESA
Urubu Branco,PORTO ALEGRE DO NORTE
Urucu/Juruá,ITAIPAVA DO GRAJAÚ
Uru-Eu-Wau-Wau,GUAJARÁ-MIRIM
Uru-Eu-Wau-Wau,JARU
Uru-Eu-Wau-Wau,SÃO MIGUEL DO GUAPORÉ
Uru-Eu-Wau-Wau,NOVA MAMORÉ
Uru-Eu-Wau-Wau,ALVORADA D´OESTE
Uru-Eu-Wau-Wau,CACAULÂNDIA
Uru-Eu-Wau-Wau,CAMPO NOVO DE RONDÔNIA
Uru-Eu-Wau-Wau,GOVERNADOR JORGE TEIXEIRA
Uru-Eu-Wau-Wau,MIRANTE DA SERRA
Uru-Eu-Wau-Wau,MONTE NEGRO
Uru-Eu-Wau-Wau,SERINGUEIRAS
Uru-Eu-Wau-Wau,COSTA MARQUES
Utaria Wyhyna/Iròdu Iràna,PIUM
Utiariti,SAPEZAL
Utiariti,CAMPO NOVO DO PARECIS
Uty-Xunaty (Gleba Iquê),VILHENA
Vale do Guaporé,NOVA LACERDA
Vale do Guaporé,COMODORO
Vale do Javari,ATALAIA DO NORTE
Vale do Javari,BENJAMIN CONSTANT
Vale do Javari,EIRUNEPÉ
Vale do Javari,GUAJARÁ
Vale do Javari,IPIXUNA
Vale do Javari,JUTAÍ
Vale do Javari,SÃO PAULO DE OLIVENÇA
Vanuire,ARCO-ÍRIS
Vanuire,TUPÃ
Vargem Alegre,SERRA DO RAMALHO
Varzinha,MAQUINÉ
Varzinha,CARAÁ
Ventarra,EREBANGO
Vista Alegre,CAREIRO
Vista Alegre,MANAQUIRI
Votouro,FAXINALZINHO
Votouro,BENJAMIN CONSTANT DO SUL
Votouro/Kandóia,FAXINALZINHO
Votouro/Kandóia,BENJAMIN CONSTANT DO SUL
Vui-Uata-In,AMATURÁ
Waiãpi,PEDRA BRANCA DO AMAPARI
Waiãpi,MAZAGÃO
Waiãpi,LARANJAL DO JARI
Waimiri-Atroari,RORAINÓPOLIS
Waimiri-Atroari,SÃO JOÃO DA BALIZA
Waimiri-Atroari,NOVO AIRÃO
Waimiri-Atroari,PRESIDENTE FIGUEIREDO
Waimiri-Atroari,URUCARÁ
WaiWái,CARACARAÍ
WaiWái,CAROEBE
WaiWái,SÃO JOÃO DA BALIZA
Wassu-Cocal,COLÔNIA LEOPOLDINA
Wassu-Cocal,JOAQUIM GOMES
Wassu-Cocal,MATRIZ DE CAMARAGIBE
Wassu-Cocal,NOVO LINO
Wawi,QUERÊNCIA
Wedezé,COCALINHO
Xacriabá,CÔNEGO MARINHO
Xacriabá,SÃO JOÃO DAS MISSÕES
Xacriabá,ITACARAMBI
Xakriabá Rancharia,ITACARAMBI
Xakriabá Rancharia,SÃO JOÃO DAS MISSÕES
Xambioá,SANTA FÉ DO ARAGUAIA
Xapecó,ABELARDO LUZ
Xapecó,IPUAÇU
Xapecó,ENTRE RIOS
Xapecó (Pinhalzinho-Canhadão),ABELARDO LUZ
Xapecó (Pinhalzinho-Canhadão),IPUAÇU
Xerente,PEDRO AFONSO
Xerente,TOCANTÍNIA
Xikrin do Rio Catete,MARABÁ
Xikrin do Rio Catete,PARAUAPEBAS
Xikrin do Rio Catete,ÁGUA AZUL DO NORTE
Xipaya,ALTAMIRA
Xukuru,PESQUEIRA
Xukuru,POÇÃO
Xukuru de Cimbres,ALAGOINHA
Xukuru de Cimbres,PEDRA
Xukuru de Cimbres,PESQUEIRA
Xukuru de Cimbres,VENTUROSA
Xukuru-Kariri,PALMEIRA DOS ÍNDIOS
Yanomami,AMAJARI
Yanomami,ALTO ALEGRE
Yanomami,CARACARAÍ
Yanomami,IRACEMA
Yanomami,MUCAJAÍ
Yanomami,BARCELOS
Yanomami,SANTA ISABEL DO RIO NEGRO
Yanomami,SÃO GABRIEL DA CACHOEIRA
Ypoi/Triunfo,PARANHOS
Yvy-katu,JAPORÃ
Yvyporã Laranjinha,CORNÉLIO PROCÓPIO
Yvyporã Laranjinha,RIBEIRÃO DO PINHAL
Yvyporã Laranjinha,ABATIÁ
Zoe,ÓBIDOS
Zoró,RONDOLÂNDIA
Zuruahã,TAPAUÁ
