ti_nome,municipio
Capoto/Jarina,SANTA CRUZ DO XINGU
Capoto/Jarina,PEIXOTO DE AZEVEDO
Caramuru/Paraguassu,CAMACAN
Caramuru/Paraguassu,ITAJU DO COLÔNIA
Caramuru/Paraguassu,PAU BRASIL
Carretão I,RUBIATABA
Carretão I,NOVA AMÉRICA
Carretão II,NOVA AMÉRICA
Carreteiro,ÁGUA SANTA
Caru,BOM JARDIM
Catipari/Mamoria,PAUINI
Caxixó,MARTINHO CAMPOS
Caxixó,POMPÉU
Cerrito,ELDORADO
Chão Preto,CAMPINÁPOLIS
Coata-Laranjal,BORBA
Cobra Grande,SANTARÉM
Comboios,ARACRUZ
Comexatibá,PRADO
Coroa Vermelha,SANTA CRUZ CABRÁLIA
Coroa Vermelha,PORTO SEGURO
Córrego João Pereira,ACARAÚ
Córrego João Pereira,ITAREMA
Cué Cué/ Marabitanas,SÃO GABRIEL DA CACHOEIRA
Cuia,AUTAZES
Cuiu-Cuiu,MARAÃ
Cunhã-Sapucaia,AUTAZES
Cunhã-Sapucaia,BORBA
Deni,ITAMARATI
Deni,LÁBREA
Deni,PAUINI
Deni,TAPAUÁ
Diahui,HUMAITÁ
Djaiko-Aty,MIRACATU
Dourados,DOURADOS
Dourados,ITAPORÃ
Dourados-Amambaipeguá I,AMAMBAI
Dourados-Amambaipeguá I,CAARAPÓ
Dourados-Amambaipeguá I,LAGUNA CARAPÃ
Enawenê-Nawê,COMODORO
Enawenê-Nawê,JUÍNA
Enawenê-Nawê,SAPEZAL
Entre Serras,JATOBÁ
Entre Serras,PETROLÂNDIA
Entre Serras,TACARATU
Erikpatsá,BRASNORTE
Escondido,COTRIGUAÇU
Espírito Santo,JUTAÍ
Estação Parecis,DIAMANTINO
Estivadinho,TANGARÁ DA SERRA
Estrada do Mar,OSÓRIO
Estrela da Paz,JUTAÍ
Évare I,SANTO ANTÔNIO DO IÇÁ
Évare I,SÃO PAULO DE OLIVENÇA
Évare I,TABATINGA
Évare II,SÃO PAULO DE OLIVENÇA
Faxinal,CÂNDIDO DE ABREU
Fazenda Bahiana,CAMAMU
Fazenda Boa Vista - MG,CALDAS
Fazenda Boa Vista - MG,SANTA RITA DE CALDAS
Fazenda Canto,PALMEIRA DOS ÍNDIOS
Fazenda Guarani,CARMÉSIA
Fazenda Remanso,MUQUÉM DE SÃO FRANCISCO
Fazenda Sítio,BANZAÊ
Figueiras,TANGARÁ DA SERRA
Figueiras,BARRA DO BUGRES
Fortaleza do Castanho,MANAQUIRI
Fortaleza do Patauá,MANACAPURU
Fulni-ô,ÁGUAS BELAS
Fulni-ô,ITAÍBA
Funil,TOCANTÍNIA
Galibi,OIAPOQUE
Gavião,CAREIRO DA VÁRZEA
Geralda Toco Preto,ARAME
Geralda Toco Preto,ITAIPAVA DO GRAJAÚ
Geripancó,PARICONHA
Governador,AMARANTE DO MARANHÃO
Guaimbé,LAGUNA CARAPÃ
Guajahã,PAUINI
Guanabara,BENJAMIN CONSTANT
Guarani Araponga,PARATY
Guarani Barra do Ouro,CARAÁ
Guarani Barra do Ouro,MAQUINÉ
Guarani Barra do Ouro,RIOZINHO
Guarani da Barragem,SÃO PAULO
Guarani de Águas Brancas,ARAMBARÉ
Guarani de Araçaí,CUNHA PORÃ
Guarani de Araçaí,SAUDADES
Guarani de Bracui,ANGRA DOS REIS
Guarani do Aguapeu,MONGAGUÁ
Guarani Votouro,BENJAMIN CONSTANT DO SUL
Guarita,TENENTE PORTELA
Guarita,MIRAGUAÍ
Guarita,ERVAL SECO
Guasuti,ARAL MOREIRA
Guató,CORUMBÁ
Guyraroká,CAARAPÓ
Hãm Yîxux,LADAINHA
Herarekã Xetá,IVATÉ
Hi Merimã,LÁBREA
Hi Merimã,TAPAUÁ
Ibirama,DOUTOR PEDRINHO
Ibirama,ITAIÓPOLIS
Ibirama,JOSÉ BOITEUX
Ibirama,VITOR MEIRELES
Ibirama-La Klãnô,DOUTOR PEDRINHO
Ibirama-La Klãnô,ITAIÓPOLIS
Ibirama-La Klãnô,JOSÉ BOITEUX
Ibirama-La Klãnô,RIO NEGRINHO
Ibirama-La Klãnô,VITOR MEIRELES
Ibotirama,IBOTIRAMA
Icatu,BRAÚNA
Igarapé Capana,BOCA DO ACRE
Igarapé do Caucho,TARAUACÁ
Igarapé Grande,ALVARÃES
Igarapé Lage,GUAJARÁ-MIRIM
Igarapé Lage,NOVA MAMORÉ
Igarapé Lourdes,JI-PARANÁ
Igarapé Ribeirão,NOVA MAMORÉ
Igarapé Taboca do Alto Tarauacá,JORDÃO
Iguatemipegua I,IGUATEMI
Ilha da Cotinga,PARANAGUÁ
Ilha do Camaleão,ANAMÃ
Imbiriba,PORTO SEGURO
Inauini/Teuini,BOCA DO ACRE
Inauini/Teuini,PAUINI
Inawebohona,LAGOA DA CONFUSÃO
Inawebohona,PIUM
Inhacorá,SÃO VALÉRIO DO SUL
Ipixuna,HUMAITÁ
Irantxe,BRASNORTE
Irapuá,CAÇAPAVA DO SUL
Itaitinga,AUTAZES
Itaóca,MONGAGUÁ
Itixi Mitari,BERURI
Itixi Mitari,TAPAUÁ
Itixi Mitari,ANORI
Ituna/Itatá,ALTAMIRA
Ituna/Itatá,SENADOR JOSÉ PORFÍRIO
Ivai,MANOEL RIBAS
Ivai,PITANGA
Jabuti,BONFIM
Jacamim,BONFIM
Jacamim,CARACARAÍ
Jacaré de São Domingos,MARCAÇÃO
Jacaré de São Domingos,RIO TINTO
Jacareúba/Katauixi (restrição uso),CANUTAMA
Jacareúba/Katauixi (restrição uso),LÁBREA
Jaguapiré,TACURU
Jaguari,AMAMBAI
Jaminaua/Envira,FEIJÓ
Jaminawa Arara do Rio Bagé,MARECHAL THAUMATURGO
Jaminawa Arara do Rio Bagé,TARAUACÁ
Jaminawa do Igarapé Preto,CRUZEIRO DO SUL
Japuira,JUARA
Jaquiri,UARINI
Jaraguá,SÃO PAULO
Jaraguá,OSASCO
Jarara,JUTI
Jarawara/Jamamadi/Kanamati,LÁBREA
Jarawara/Jamamadi/Kanamati,TAPAUÁ
Jarudore,POXORÉO
Jatayvari,PONTA PORÃ
Jatuarana,MANACAPURU
Jauary,AUTAZES
Juininha,CONQUISTA D´OESTE
Juma,CANUTAMA
Jumina,OIAPOQUE
Jurubaxi-Téa,BARCELOS
